All transcripts| 4507 entries on 5 pages. Showing entries 1 - 4507.
ID	Chr	Gene ID	Name	NCBI ID	NCBI Protein ID	Variants
00000924	1	MUTYH	mutY homolog (E. coli), transcript variant alpha1	NM_012222.2	NP_036354.1	1
00000925	1	MUTYH	mutY homolog (E. coli), transcript variant alpha5	NM_001128425.1	NP_001121897.1	1
00000926	1	MUTYH	mutY homolog (E. coli), transcript variant gamma3	NM_001048173.1	NP_001041638.1	1
00000927	1	MUTYH	mutY homolog (E. coli), transcript variant gamma2	NM_001048172.1	NP_001041637.1	1
00000928	1	MUTYH	mutY homolog (E. coli), transcript variant beta3	NM_001048174.1	NP_001041639.1	1
00000929	14	MYH7	myosin, heavy chain 7, cardiac muscle, beta	NM_000257.2	NP_000248.2	36
00000930	14	MYH7	transcript variant X1	XM_005267696.1	XP_005267753.1	36
00000931	14	MYH7	transcript variant X3	XR_245686.1	-	32
00000932	14	MYH7	transcript variant X2	XM_005267697.1	XP_005267754.1	30
00000933	17	NAGS	N-acetylglutamate synthase	NM_153006.2	NP_694551.1	0
00000934	11	NARS2	transcript variant 2	NM_001243251.1	NP_001230180.1	14
00000935	11	NARS2	transcript variant 1	NM_024678.5	NP_078954.4	14
00000936	19	NDUFA13	transcript variant X2	XM_005259926.1	XP_005259983.1	1
00000937	19	NDUFA13	transcript variant X1	XM_005259925.1	XP_005259982.1	1
00000938	19	NDUFA13	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 13	NM_015965.6	NP_057049.5	1
00000939	19	NDUFA3	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 3, 9kDa	NM_004542.3	NP_004533.1	0
00000940	7	NDUFA4	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 4, 9kDa	NM_002489.3	NP_002480.1	0
00000941	12	NDUFA4L2	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 4-like 2	NM_020142.3	NP_064527.1	0
00000942	7	NDUFA5	13kDa	NM_005000.2	NP_004991.1	0
00000943	22	NDUFA6	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 6, 14kDa	NM_002490.3	NP_002481.2	6
00000944	19	NDUFA7	transcript variant X1	XR_246670.1	-	0
00000945	19	NDUFA7	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 7, 14.5kDa	NM_005001.3	NP_004992.2	0
00000946	9	NDUFA8	transcript variant X1	XM_005251998.1	XP_005252055.1	0
00000947	9	NDUFA8	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 8, 19kDa	NM_014222.2	NP_055037.1	0
00000948	16	NDUFAB1	NADH dehydrogenase (ubiquinone) 1, alpha/beta subcomplex, 1, 8kDa	NM_005003.2	NP_004994.1	0
00000949	3	NDUFAF3	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, assembly factor 3, transcript variant 4	NM_199074.1	NP_951056.1	26
00000950	3	NDUFAF3	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, assembly factor 3, transcript variant 3	NM_199073.1	NP_951047.1	26
00000951	3	NDUFAF3	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, assembly factor 3, transcript variant 1	NM_199069.1	NP_951032.1	26
00000952	3	NDUFAF3	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, assembly factor 3, transcript variant 2	NM_199070.1	NP_951033.1	26
00000953	6	NDUFAF4	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, assembly factor 4	NM_014165.3	NP_054884.1	43
00000954	14	NDUFB1	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 1, 7kDa	NM_004545.3	NP_004536.2	0
00000955	16	NDUFB10	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 10, 22kDa	NM_004548.2	NP_004539.1	2
00000956	X	NDUFB11	transcript variant 2	NM_001135998.2	NP_001129470.1	2
00000957	X	NDUFB11	transcript variant 1	NM_019056.6	NP_061929.2	2
00000958	7	NDUFB2	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 2, 8kDa	NM_004546.2	NP_004537.1	0
00000959	3	NDUFB4	transcript variant 2	NM_001168331.1	NP_001161803.1	0
00000960	3	NDUFB4	transcript variant 1	NM_004547.5	NP_004538.2	0
00000961	3	NDUFB5	transcript variant 1	NM_002492.3	NP_002483.1	0
00000962	3	NDUFB5	transcript variant 3	NM_001199958.1	NP_001186887.1	0
00000963	3	NDUFB5	transcript variant 2	NM_001199957.1	NP_001186886.1	0
00000964	9	NDUFB6	transcript variant 3	NM_001199987.1	NP_001186916.1	0
00000965	9	NDUFB6	transcript variant 2	NM_182739.2	NP_877416.1	0
00000966	9	NDUFB6	transcript variant 1	NM_002493.4	NP_002484.1	0
00000967	19	NDUFB7	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 7, 18kDa	NM_004146.5	NP_004137.2	0
00000968	10	NDUFB8	transcript variant X2	XM_005269856.1	XP_005269913.1	4
00000969	10	NDUFB8	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 8, 19kDa	NM_005004.2	NP_004995.1	4
00000970	10	NDUFB8	transcript variant X1	XM_005269855.1	XP_005269912.1	4
00000971	4	NDUFC1	transcript variant 6	NM_001184990.1	NP_001171919.1	0
00000972	4	NDUFC1	transcript variant 3	NM_001184987.1	NP_001171916.1	0
00000973	4	NDUFC1	transcript variant 4	NM_001184988.1	NP_001171917.1	0
00000974	4	NDUFC1	transcript variant 5	NM_001184989.1	NP_001171918.1	0
00000975	4	NDUFC1	transcript variant 2	NM_002494.3	NP_002485.1	0
00000976	4	NDUFC1	transcript variant 7	NM_001184991.1	NP_001171920.1	0
00000977	4	NDUFC1	transcript variant 1	NM_001184986.1	NP_001171915.1	0
00000978	11	NDUFC2	transcript variant 3	NM_001204055.1	NP_001190984.1	0
00000979	11	NDUFC2	transcript variant 2	NM_001204054.1	NP_001190983.1	0
00000980	11	NDUFC2	transcript variant 1	NM_004549.5	NP_004540.1	0
00000981	1	NDUFS5	transcript variant 1	NM_004552.2	NP_004543.1	0
00000982	1	NDUFS5	transcript variant 2	NM_001184979.1	NP_001171908.1	0
00000983	21	NDUFV3	transcript variant 1	NM_021075.3	NP_066553.3	0
00000984	21	NDUFV3	transcript variant 2	NM_001001503.1	NP_001001503.1	0
00000985	8	NEFL	neurofilament, light polypeptide	NM_006158.4	NP_006149.2	0
00000986	15	NIPA1	transcript variant 2	NM_001142275.1	NP_001135747.1	0
00000987	15	NIPA1	transcript variant 1	NM_144599.4	NP_653200.2	0
00000988	14	NKX2-1	transcript variant X1	XM_005268030.1	XP_005268087.1	0
00000989	14	NKX2-1	transcript variant X2	XM_005268031.1	XP_005268088.1	0
00000990	14	NKX2-1	transcript variant X3	XM_005268032.1	XP_005268089.1	0
00000991	14	NKX2-1	transcript variant X4	XM_005268033.1	XP_005268090.1	0
00000992	14	NKX2-1	transcript variant 1	NM_001079668.2	NP_001073136.1	0
00000993	14	NKX2-1	transcript variant 2	NM_003317.3	NP_003308.1	0
00000994	18	NPC1	transcript variant X3	XM_005258279.1	XP_005258336.1	0
00000995	18	NPC1	transcript variant X1	XM_005258277.1	XP_005258334.1	0
00000996	18	NPC1	transcript variant X4	XM_005258280.1	XP_005258337.1	0
00000997	18	NPC1	Niemann-Pick disease, type C1	NM_000271.4	NP_000262.2	0
00000998	18	NPC1	transcript variant X2	XM_005258278.1	XP_005258335.1	0
00000999	14	NPC2	transcript variant X1	XM_005267270.1	XP_005267327.1	0
00001000	14	NPC2	Niemann-Pick disease, type C2	NM_006432.3	NP_006423.1	0
00001001	7	OGDH	transcript variant X3	XM_005249761.1	XP_005249818.1	0
00001002	7	OGDH	transcript variant 3	NM_001165036.1	NP_001158508.1	0
00001003	7	OGDH	transcript variant 1	NM_002541.3	NP_002532.2	0
00001004	7	OGDH	transcript variant 2	NM_001003941.2	NP_001003941.1	0
00001005	7	OGDH	transcript variant X4	XM_005249762.1	XP_005249819.1	0
00001006	7	OGDH	transcript variant X5	XM_005249763.1	XP_005249820.1	0
00001007	7	OGDH	transcript variant X1	XM_005249759.1	XP_005249816.1	0
00001008	7	OGDH	transcript variant X2	XM_005249760.1	XP_005249817.1	0
00001009	3	OGG1	transcript variant 2d	NM_016828.2	NP_058437.1	0
00001010	3	OGG1	transcript variant 2e	NM_016829.2	NP_058438.1	0
00001011	3	OGG1	transcript variant 2a	NM_016821.2	NP_058214.1	0
00001012	3	OGG1	transcript variant 2b	NM_016826.2	NP_058434.1	0
00001013	3	OGG1	transcript variant 2c	NM_016827.2	NP_058436.1	0
00001014	3	OGG1	transcript variant 1b	NM_016819.3	NP_058212.1	0
00001015	3	OGG1	transcript variant 1c	NM_016820.3	NP_058213.1	0
00001016	3	OGG1	transcript variant 1a	NM_002542.5	NP_002533.1	0
00001017	3	OGG1	transcript variant X1	XM_005265185.1	XP_005265242.1	0
00001018	X	OTC	ornithine carbamoyltransferase	NM_000531.5	NP_000522.3	0
00001019	14	OXA1L	oxidase (cytochrome c) assembly 1-like	NM_005015.3	NP_005006.3	2
00001020	5	OXCT1	3-oxoacid CoA transferase 1	NM_000436.3	NP_000427.1	0
00001021	17	PAFAH1B1	platelet-activating factor acetylhydrolase 1b, regulatory subunit 1 (45kDa)	NM_000430.3	NP_000421.1	0
00001022	1	PARK7	transcript variant 1	NM_007262.4	NP_009193.2	0
00001023	1	PARK7	transcript variant 2	NM_001123377.1	NP_001116849.1	0
00001024	3	PARL	transcript variant X5	XM_005247586.1	XP_005247643.1	0
00001025	3	PARL	transcript variant X4	XM_005247585.1	XP_005247642.1	0
00001026	3	PARL	transcript variant X2	XM_005247583.1	XP_005247640.1	0
00001027	3	PARL	transcript variant X1	XM_005247582.1	XP_005247639.1	0
00001028	3	PARL	transcript variant 2	NM_001037639.1	NP_001032728.1	0
00001029	3	PARL	transcript variant 1	NM_018622.5	NP_061092.3	0
00001030	3	PARL	transcript variant X3	XM_005247584.1	XP_005247641.1	0
00001031	3	PARL	transcript variant X6	XM_005247587.1	XP_005247644.1	0
00001032	1	PARS2	prolyl-tRNA synthetase 2, mitochondrial (putative)	NM_152268.3	NP_689481.2	0
00001033	13	PCCA	transcript variant 1	NM_000282.3	NP_000273.2	0
00001034	13	PCCA	transcript variant 3	NM_001178004.1	NP_001171475.1	0
00001035	13	PCCA	transcript variant 2	NM_001127692.2	NP_001121164.1	0
00001036	3	PCCB	transcript variant X4	XM_005247510.1	XP_005247567.1	0
00001037	3	PCCB	transcript variant X2	XM_005247508.1	XP_005247565.1	0
00001038	3	PCCB	transcript variant X3	XM_005247509.1	XP_005247566.1	0
00001039	3	PCCB	transcript variant 2	NM_001178014.1	NP_001171485.1	0
00001040	3	PCCB	transcript variant 1	NM_000532.4	NP_000523.2	0
00001041	3	PCCB	transcript variant X1	XM_005247507.1	XP_005247564.1	0
00001042	14	PCK2	transcript variant X1	XM_005267726.1	XP_005267783.1	2
00001043	14	PCK2	transcript variant X2	XM_005267727.1	XP_005267784.1	2
00001044	14	PCK2	transcript variant 1	NM_004563.2	NP_004554.2	2
00001045	14	PCK2	transcript variant 2	NM_001018073.1	NP_001018083.1	2
00001046	14	PCK2	transcript variant X4	XM_005267729.1	XP_005267786.1	2
00001047	14	PCK2	transcript variant X3	XM_005267728.1	XP_005267785.1	2
00001048	13	PDX1	pancreatic and duodenal homeobox 1	NM_000209.3	NP_000200.1	5
00001049	2	PEX13	peroxisomal biogenesis factor 13	NM_002618.3	NP_002609.1	0
00001050	17	PHB	transcript variant 3	NM_001281497.1	NP_001268426.1	0
00001051	17	PHB	transcript variant 2	NM_002634.3	NP_002625.1	0
00001052	17	PHB	transcript variant 4	NM_001281715.1	NP_001268644.1	0
00001053	17	PHB	transcript variant 1	NM_001281496.1	NP_001268425.1	0
00001054	1	PINK1	PTEN induced putative kinase 1	NM_032409.2	NP_115785.1	0
00001055	X	PLP1	transcript variant 3	NM_001128834.1	NP_001122306.1	0
00001056	X	PLP1	transcript variant 1	NM_000533.3	NP_000524.3	0
00001057	X	PLP1	transcript variant 2	NM_199478.1	NP_955772.1	0
00001058	16	PMM2	phosphomannomutase 2	NM_000303.2	NP_000294.1	0
00001059	2	PNKD	transcript variant 1	NM_015488.4	NP_056303.3	0
00001060	2	PNKD	transcript variant 3	NM_001077399.2	NP_001070867.1	0
00001061	2	PNKD	transcript variant 2	NM_022572.4	NP_072094.1	0
00001062	11	PNPLA2	patatin-like phospholipase domain containing 2	NM_020376.3	NP_065109.1	0
00001063	22	PNPLA3	patatin-like phospholipase domain containing 3	NM_025225.2	NP_079501.2	0
00001064	22	PNPLA3	transcript variant X2	XR_244388.1	-	0
00001065	22	PNPLA3	transcript variant X1	XM_005261754.1	XP_005261811.1	0
00001066	2	PPM1B	transcript variant X1	XM_005264385.1	XP_005264442.1	0
00001067	2	PPM1B	transcript variant 2	NM_177968.2	NP_808907.1	0
00001068	2	PPM1B	transcript variant 5	NM_001033557.1	NP_001028729.1	0
00001069	2	PPM1B	transcript variant 1	NM_002706.4	NP_002697.1	0
00001070	2	PPM1B	transcript variant 3	NM_177969.2	NP_808908.1	0
00001071	2	PPM1B	transcript variant 4	NM_001033556.1	NP_001028728.1	0
00001072	1	PPOX	transcript variant X1	XM_005245290.1	XP_005245347.1	0
00001073	1	PPOX	transcript variant 2	NM_001122764.1	NP_001116236.1	0
00001074	1	PPOX	transcript variant 1	NM_000309.3	NP_000300.1	0
00001075	1	PPOX	transcript variant X2	XM_005245291.1	XP_005245348.1	0
00001076	1	PPOX	transcript variant X6	XM_005245295.1	XP_005245352.1	0
00001077	1	PPOX	transcript variant X7	XM_005245296.1	XP_005245353.1	0
00001078	1	PPOX	transcript variant X4	XM_005245293.1	XP_005245350.1	0
00001079	1	PPOX	transcript variant X5	XM_005245294.1	XP_005245351.1	0
00001080	1	PPOX	transcript variant X3	XM_005245292.1	XP_005245349.1	0
00001081	2	PREPL	transcript variant 7	NM_001171617.1	NP_001165088.1	3
00001082	2	PREPL	transcript variant 2	NM_001171603.1	NP_001165074.1	3
00001083	2	PREPL	transcript variant 6	NM_001171613.1	NP_001165084.1	3
00001084	2	PREPL	transcript variant 3	NM_001171606.1	NP_001165077.1	3
00001085	2	PREPL	transcript variant 1	NM_006036.4	NP_006027.2	3
00001086	2	PREPL	transcript variant 4	NM_001042385.2	NP_001035844.1	3
00001087	2	PREPL	transcript variant 5	NM_001042386.2	NP_001035845.1	3
00001088	19	PRKCG	protein kinase C, gamma	NM_002739.3	NP_002730.1	0
00001089	19	PRKCG	transcript variant X1	XM_005259054.1	XP_005259111.1	0
00001090	22	PRODH	transcript variant X2	XM_005261256.1	XP_005261313.1	0
00001091	22	PRODH	transcript variant X1	XM_005261255.1	XP_005261312.1	0
00001092	22	PRODH	transcript variant 1	NM_016335.4	NP_057419.4	0
00001093	22	PRODH	transcript variant 2	NM_001195226.1	NP_001182155.1	0
00001094	11	PTPMT1	transcript variant X1	XM_005252774.1	XP_005252831.1	0
00001095	11	PTPMT1	transcript variant 2	NM_001143984.1	NP_001137456.1	0
00001096	11	PTPMT1	transcript variant 1	NM_175732.2	NP_783859.1	0
00001097	3	RFT1	RFT1 homolog (S. cerevisiae)	NM_052859.3	NP_443091.1	0
00001098	3	RFT1	transcript variant X1	XM_005265537.1	XP_005265594.1	0
00001099	9	RMRP	RNA component of mitochondrial RNA processing endoribonuclease	NR_003051.3	-	0
00001100	19	RNASEH2A	transcript variant X1	XM_005259710.1	XP_005259767.1	0
00001101	19	RNASEH2A	ribonuclease H2, subunit A	NM_006397.2	NP_006388.2	0
00001102	13	RNASEH2B	transcript variant 2	NM_001142279.2	NP_001135751.1	0
00001103	13	RNASEH2B	transcript variant 1	NM_024570.3	NP_078846.2	0
00001104	11	RNASEH2C	ribonuclease H2, subunit C	NM_032193.3	NP_115569.2	0
00001105	1	RNASEL	ribonuclease L (2',5'-oligoisoadenylate synthetase-dependent)	NM_021133.3	NP_066956.1	0
00001106	1	RNASEL	transcript variant X1	XM_005245411.1	XP_005245468.1	0
00001107	19	RYR1	transcript variant 1	NM_000540.2	NP_000531.2	0
00001108	19	RYR1	transcript variant 2	NM_001042723.1	NP_001036188.1	0
00001109	20	SAMHD1	transcript variant X1	XM_005260384.1	XP_005260441.1	0
00001110	20	SAMHD1	SAM domain and HD domain 1	NM_015474.3	NP_056289.2	0
00001111	2	SCN1A	transcript variant 4	NM_001202435.1	NP_001189364.1	12
00001112	2	SCN1A	transcript variant 3	NM_001165964.1	NP_001159436.1	12
00001113	2	SCN1A	transcript variant 2	NM_006920.4	NP_008851.3	12
00001114	2	SCN1A	transcript variant 1	NM_001165963.1	NP_001159435.1	12
00001115	5	SDHA	transcript variant X3	XM_005248331.1	XP_005248388.1	576
00001116	5	SDHA	transcript variant X1	XM_005248329.1	XP_005248386.1	576
00001117	5	SDHA	transcript variant X4	XR_241710.1	-	539
00001118	5	SDHA	succinate dehydrogenase complex, subunit A, flavoprotein (Fp)	NM_004168.2	NP_004159.2	577
00001119	5	SDHA	transcript variant X2	XM_005248330.1	XP_005248387.1	576
00001120	11	SDHAF2	transcript variant X1	XM_005274069.1	XP_005274126.1	0
00001121	11	SDHAF2	succinate dehydrogenase complex assembly factor 2	NM_017841.2	NP_060311.1	0
00001122	1	SDHB	succinate dehydrogenase complex, subunit B, iron sulfur (Ip)	NM_003000.2	NP_002991.2	0
00001123	1	SDHC	transcript variant 1	NM_003001.3	NP_002992.1	0
00001124	1	SDHC	transcript variant 2	NM_001035511.1	NP_001030588.1	0
00001125	1	SDHC	transcript variant 3	NM_001035512.1	NP_001030589.1	0
00001126	1	SDHC	transcript variant 4	NM_001035513.1	NP_001030590.1	0
00001127	11	SDHD	transcript variant 5	NR_077060.1	-	6
00001128	11	SDHD	transcript variant 4	NM_001276506.1	NP_001263435.1	6
00001129	11	SDHD	transcript variant 1	NM_003002.3	NP_002993.1	6
00001130	11	SDHD	transcript variant 2	NM_001276503.1	NP_001263432.1	6
00001131	11	SDHD	transcript variant 3	NM_001276504.1	NP_001263433.1	6
00001132	11	SDHD	transcript variant X1	XM_005271644.1	XP_005271701.1	6
00001133	5	SGCD	transcript variant X1	XM_005265965.1	XP_005266022.1	1
00001134	5	SGCD	transcript variant 1	NM_000337.5	NP_000328.2	1
00001135	5	SGCD	transcript variant 3	NM_001128209.1	NP_001121681.1	1
00001136	5	SGCD	transcript variant 2	NM_172244.2	NP_758447.1	1
00001137	5	SGCD	transcript variant X3	XM_005265967.1	XP_005266024.1	1
00001138	5	SGCD	transcript variant X2	XM_005265966.1	XP_005266023.1	1
00001139	16	SLC12A3	solute carrier family 12 (sodium/chloride transporters), member 3, transcript variant 1	NM_000339.2	NP_000330.2	0
00001140	16	SLC12A3	solute carrier family 12 (sodium/chloride transporters), member 3, transcript variant 3	NM_001126108.1	NP_001119580.1	0
00001141	16	SLC12A3	solute carrier family 12 (sodium/chloride transporters), member 3, transcript variant 2	NM_001126107.1	NP_001119579.1	0
00001142	X	SLC16A2	solute carrier family 16, member 2 (thyroid hormone transporter)	NM_006517.4	NP_006508.2	0
00001143	1	SLC19A2	solute carrier family 19 (thiamine transporter), member 2	NM_006996.2	NP_008927.1	0
00001144	5	SLC22A5	transcript variant X1	XM_005272055.1	XP_005272112.1	390
00001145	5	SLC22A5	solute carrier family 22 (organic cation/carnitine transporter), member 5	NM_003060.3	NP_003051.1	394
00001146	5	SLC22A5	transcript variant X2	XM_005272056.1	XP_005272113.1	390
00001147	2	SLC25A12	transcript variant 2	NR_047549.1	-	41
00001148	2	SLC25A12	transcript variant 1	NM_003705.4	NP_003696.2	41
00001149	7	SLC25A13	solute carrier family 25, member 13 (citrin), transcript variant 3	NR_027662.1	-	53
00001150	7	SLC25A13	solute carrier family 25, member 13 (citrin), transcript variant 2	NM_014251.2	NP_055066.1	53
00001151	7	SLC25A13	solute carrier family 25, member 13 (citrin), transcript variant 1	NM_001160210.1	NP_001153682.1	53
00001152	13	SLC25A15	solute carrier family 25 (mitochondrial carrier; ornithine transporter) member 15	NM_014252.3	NP_055067.1	99
00001153	13	SLC25A15	transcript variant X1	XM_005266210.1	XP_005266267.1	87
00001154	10	SLC25A16	solute carrier family 25 (mitochondrial carrier; Graves disease autoantigen), member 16	NM_152707.3	NP_689920.1	0
00001155	17	SLC25A19	transcript variant 3	NM_001126122.1	NP_001119594.1	22
00001156	17	SLC25A19	transcript variant 2	NM_021734.4	NP_068380.3	22
00001157	17	SLC25A19	transcript variant 1	NM_001126121.1	NP_001119593.1	22
00001158	3	SLC25A20	solute carrier family 25 (carnitine/acylcarnitine translocase), member 20	NM_000387.5	NP_000378.1	47
00001159	11	SLC25A22	transcript variant 3	NM_001191061.1	NP_001177990.1	18
00001160	11	SLC25A22	transcript variant 1	NM_001191060.1	NP_001177989.1	18
00001161	11	SLC25A22	transcript variant 2	NM_024698.5	NP_078974.1	18
00001162	12	SLC25A3	transcript variant 3	NM_213611.2	NP_998776.1	23
00001163	12	SLC25A3	transcript variant 1	NM_005888.3	NP_005879.1	23
00001164	12	SLC25A3	transcript variant 2	NM_002635.3	NP_002626.1	23
00001165	3	SLC25A38	solute carrier family 25, member 38	NM_017875.2	NP_060345.2	0
00001166	10	SLC29A3	solute carrier family 29 (nucleoside transporters), member 3, transcript variant 2	NM_001174098.1	NP_001167569.1	0
00001167	10	SLC29A3	solute carrier family 29 (nucleoside transporters), member 3, transcript variant 1	NM_018344.5	NP_060814.4	0
00001168	10	SLC29A3	solute carrier family 29 (nucleoside transporters), member 3, transcript variant 3	NR_033413.1	-	0
00001169	10	SLC29A3	solute carrier family 29 (nucleoside transporters), member 3, transcript variant 4	NR_033414.1	-	0
00001170	1	SLC2A1	solute carrier family 2 (facilitated glucose transporter), member 1	NM_006516.2	NP_006507.2	0
00001171	20	SLC2A10	solute carrier family 2 (facilitated glucose transporter), member 10	NM_030777.3	NP_110404.1	0
00001172	3	SLC33A1	transcript variant 2	NM_001190992.1	NP_001177921.1	0
00001173	3	SLC33A1	transcript variant 1	NM_004733.3	NP_004724.1	0
00001174	6	SLC35A1	transcript variant X4	XR_241842.1	-	0
00001175	6	SLC35A1	transcript variant X5	XR_241843.1	-	0
00001176	6	SLC35A1	transcript variant 1	NM_006416.4	NP_006407.1	0
00001177	6	SLC35A1	transcript variant 2	NM_001168398.1	NP_001161870.1	0
00001178	6	SLC35A1	transcript variant X3	XM_005248642.1	XP_005248699.1	0
00001179	6	SLC35A1	transcript variant X1	XM_005248640.1	XP_005248697.1	0
00001180	6	SLC35A1	transcript variant X2	XM_005248641.1	XP_005248698.1	0
00001181	11	SLC35C1	transcript variant 2	NM_001145265.1	NP_001138737.1	0
00001182	11	SLC35C1	transcript variant 3	NM_001145266.1	NP_001138738.1	0
00001183	11	SLC35C1	transcript variant X1	XM_005253002.1	XP_005253059.1	0
00001184	11	SLC35C1	transcript variant 1	NM_018389.4	NP_060859.4	0
00001185	11	SLC35C1	transcript variant X2	XM_005253003.1	XP_005253060.1	0
00001186	2	SLC3A1	solute carrier family 3 (cystine, dibasic and neutral amino acid transporters, activator of cystine, dibasic and neutral amino acid transport), member 1	NM_000341.3	NP_000332.2	8
00001187	X	SLC6A8	solute carrier family 6 (neurotransmitter transporter, creatine), member 8, transcript variant 1	NM_005629.3	NP_005620.1	13
00001188	X	SLC6A8	solute carrier family 6 (neurotransmitter transporter, creatine), member 8, transcript variant 2	NM_001142805.1	NP_001136277.1	14
00001189	X	SLC6A8	solute carrier family 6 (neurotransmitter transporter, creatine), member 8, transcript variant 3	NM_001142806.1	NP_001136278.1	13
00001190	8	SLC7A13	solute carrier family 7 (anionic amino acid transporter), member 13	NM_138817.2	NP_620172.2	0
00001191	8	SLC7A13	transcript variant X1	XM_005250804.1	XP_005250861.1	0
00001192	19	SLC7A9	solute carrier family 7 (glycoprotein-associated amino acid transporter light chain, bo,+ system), member 9, transcript variant 2	NM_001126335.1	NP_001119807.1	10
00001193	19	SLC7A9	solute carrier family 7 (glycoprotein-associated amino acid transporter light chain, bo,+ system), member 9, transcript variant 1	NM_014270.4	NP_055085.1	10
00001194	2	SPAST	transcript variant X1	XM_005264516.1	XP_005264573.1	0
00001195	2	SPAST	transcript variant 1	NM_014946.3	NP_055761.2	0
00001196	2	SPAST	transcript variant 2	NM_199436.1	NP_955468.1	0
00001197	15	SPG11	transcript variant 2	NM_001160227.1	NP_001153699.1	0
00001198	15	SPG11	transcript variant 1	NM_025137.3	NP_079413.3	0
00001199	13	SPG20	transcript variant 4	NM_001142294.1	NP_001135766.1	0
00001200	13	SPG20	transcript variant 3	NM_001142295.1	NP_001135767.1	0
00001201	13	SPG20	transcript variant 2	NM_001142296.1	NP_001135768.1	0
00001202	13	SPG20	transcript variant 1	NM_015087.4	NP_055902.1	0
00001203	11	SPTBN2	transcript variant X1	XM_005274192.1	XP_005274249.1	0
00001204	11	SPTBN2	transcript variant X2	XM_005274193.1	XP_005274250.1	0
00001205	11	SPTBN2	spectrin, beta, non-erythrocytic 2	NM_006946.2	NP_008877.1	0
00001206	8	STAR	steroidogenic acute regulatory protein	NM_000349.2	NP_000340.2	0
00001207	8	STAR	transcript variant X2	XM_005273620.1	XP_005273677.1	0
00001208	8	STAR	transcript variant X1	XM_005273619.1	XP_005273676.1	0
00001209	12	SUOX	transcript variant 1	NM_000456.2	NP_000447.2	0
00001210	12	SUOX	transcript variant 2	NM_001032386.1	NP_001027558.1	0
00001211	12	SUOX	transcript variant 3	NM_001032387.1	NP_001027559.1	0
00001212	1	TARS2	transcript variant 1	NM_025150.4	NP_079426.2	5
00001213	1	TARS2	transcript variant 2	NM_001271895.1	NP_001258824.1	5
00001214	1	TARS2	transcript variant 3	NM_001271896.1	NP_001258825.1	5
00001215	16	TAT	tyrosine aminotransferase	NM_000353.2	NP_000344.1	0
00001216	11	TMEM126B	transcript variant 2	NM_001193537.2	NP_001180466.1	4
00001217	11	TMEM126B	transcript variant 5	NM_001256546.1	NP_001243475.1	4
00001218	11	TMEM126B	transcript variant 3	NM_001193538.2	NP_001180467.1	4
00001219	11	TMEM126B	transcript variant 1	NM_018480.4	NP_060950.3	4
00001220	11	TMEM126B	transcript variant 4	NM_001256547.1	NP_001243476.1	4
00001221	19	TMEM91	transcript variant X1	XM_005259150.1	XP_005259207.1	0
00001222	19	TMEM91	transcript variant 6	NM_001098825.1	NP_001092295.1	0
00001223	19	TMEM91	transcript variant 1	NM_001098821.1	NP_001092291.1	0
00001224	19	TMEM91	transcript variant 3	NM_001098822.1	NP_001092292.1	0
00001225	19	TMEM91	transcript variant 4	NM_001098823.1	NP_001092293.1	0
00001226	19	TMEM91	transcript variant 5	NM_001098824.1	NP_001092294.1	0
00001227	19	TMEM91	transcript variant X2	XM_005259151.1	XP_005259208.1	0
00001228	19	TMEM91	transcript variant 2	NM_001042595.2	NP_001036060.1	0
00001229	8	TOP1MT	transcript variant 3	NM_001258447.1	NP_001245376.1	0
00001230	8	TOP1MT	transcript variant 2	NM_001258446.1	NP_001245375.1	0
00001231	8	TOP1MT	transcript variant 1	NM_052963.2	NP_443195.1	0
00001232	17	TP53	transcript variant 2	NM_001126112.2	NP_001119584.1	1
00001233	17	TP53	transcript variant 1	NM_000546.5	NP_000537.3	1
00001234	17	TP53	transcript variant 4	NM_001126113.2	NP_001119585.1	1
00001235	17	TP53	transcript variant 3	NM_001126114.2	NP_001119586.1	1
00001236	17	TP53	transcript variant 8	NM_001126118.1	NP_001119590.1	1
00001237	17	TP53	transcript variant 5	NM_001126115.1	NP_001119587.1	1
00001238	17	TP53	transcript variant 7	NM_001126117.1	NP_001119589.1	1
00001239	17	TP53	transcript variant 6	NM_001126116.1	NP_001119588.1	1
00001240	9	TPM2	transcript variant 2	NM_213674.1	NP_998839.1	0
00001241	9	TPM2	transcript variant X1	XM_005251565.1	XP_005251622.1	0
