Symbol	Gene	Chr	Band	Transcripts	Variants	Unique variants	Last updated	Associated with diseases
COL11A2	"collagen, type XI, alpha 2"	6	p21.3	1	0	0	10-12-2013	-
COL2A1	"collagen, type II, alpha 1"	12	q12-q13.2	1	4	4	10-12-2013	-
COL4A3	"collagen, type IV, alpha 3 (Goodpasture antigen)"	2	q36-q37	1	0	0	10-12-2013	-
COL4A4	"collagen, type IV, alpha 4"	2	q35-q37	1	0	0	10-12-2013	-
COL4A5	"collagen, type IV, alpha 5"	X	q22	1	0	0	10-12-2013	-
COL6A2	"collagen, type VI, alpha 2"	21	q22.3	1	1	1	18-04-2014	-
COL6A3	"collagen, type VI, alpha 3"	2	q37	1	2	2	18-04-2014	-
COMT	catechol-O-methyltransferase	22	q11.21	4	0	0	N/A	-
COMTD1	catechol-O-methyltransferase domain containing 1	10	q22.2	3	0	0	N/A	-
COQ10A	coenzyme Q10 homolog A (S. cerevisiae)	12	q13.3	2	0	0	N/A	-
COQ10B	coenzyme Q10 homolog B (S. cerevisiae)	2	q33.1	1	0	0	N/A	-
COQ2	coenzyme Q2 4-hydroxybenzoate polyprenyltransferase	4	q21.23	3	32	28	N/A	COQ10D1
COQ3	coenzyme Q3 methyltransferase	6	q21	2	0	0	N/A	-
COQ4	coenzyme Q4	9	q34.2	1	44	44	N/A	COQ10D7
COQ5	"coenzyme Q5 homolog, methyltransferase (S. cerevisiae)"	12	q24.31	1	0	0	N/A	-
COQ6	coenzyme Q6 monooxygenase	14	q24.1	2	13	11	N/A	COQ10D6
COQ7	"coenzyme Q7 homolog, ubiquinone (yeast)"	16	p12.3	2	3	3	N/A	COQ10D8
COQ9	coenzyme Q9	16	q13	1	31	30	N/A	COQ10D5
COX10	cytochrome c oxidase assembly homolog 10 (yeast)	17	p12	1	69	64	N/A	220110
COX10-AS1	COX10 antisense RNA 1	17	p12	1	1	1	25-06-2018	-
COX11	cytochrome c oxidase assembly homolog 11 (yeast)	17	q22	5	0	0	N/A	-
COX14	cytochrome c oxidase assembly homolog 14 (S. cerevisiae)	12	q13.12	5	2	1	N/A	220110
COX15	cytochrome c oxidase assembly homolog 15 (yeast)	10	q24	3	84	83	N/A	615119
COX17	COX17 cytochrome c oxidase copper chaperone	3	q13.33	1	0	0	N/A	-
COX18	COX18 cytochrome C oxidase assembly factor	4	q13.3	3	0	0	N/A	-
COX19	cytochrome c oxidase assembly homolog 19 (S. cerevisiae)	7	p22.3	1	0	0	N/A	-
COX20	COX20 cytochrome C oxidase assembly factor	1	q44	3	3	2	N/A	220110
COX4I1	cytochrome c oxidase subunit IV isoform 1	16	q24.1	1	0	0	N/A	-
COX4I2	cytochrome c oxidase subunit IV isoform 2 (lung)	20	q11.21	4	0	0	N/A	-
COX5A	cytochrome c oxidase subunit Va	15	q25	1	0	0	N/A	-
COX5B	cytochrome c oxidase subunit Vb	2	q11.2	1	0	0	N/A	-
COX6A1	cytochrome c oxidase subunit VIa polypeptide 1	12	q24	1	0	0	N/A	-
COX6A2	cytochrome c oxidase subunit VIa polypeptide 2	16	p11.12	1	0	0	N/A	-
COX6B1	cytochrome c oxidase subunit VIb polypeptide 1 (ubiquitous)	19	q13.1	1	10	7	21-01-2015	220110
COX6B2	cytochrome c oxidase subunit VIb polypeptide 2 (testis)	19	q13.42	1	0	0	N/A	-
COX6C	cytochrome c oxidase subunit VIc	8	q22.2	1	0	0	N/A	-
COX7A1	cytochrome c oxidase subunit VIIa polypeptide 1 (muscle)	19	q13.1	1	0	0	N/A	-
COX7A2	cytochrome c oxidase subunit VIIa polypeptide 2 (liver)	6	q14.1	2	0	0	N/A	-
COX7A2L	cytochrome c oxidase subunit VIIa polypeptide 2 like	2	p21	2	0	0	N/A	-
COX7B	cytochrome c oxidase subunit VIIb	X	q21.1	1	0	0	N/A	-
COX7B2	cytochrome c oxidase subunit VIIb2	4	p12	1	0	0	N/A	-
COX7C	cytochrome c oxidase subunit VIIc	5	q14	1	0	0	N/A	-
COX8A	cytochrome c oxidase subunit VIIIA (ubiquitous)	11	q12-q13	1	1	1	N/A	220110
COX8C	cytochrome c oxidase subunit VIIIC	14	q32.13	1	0	0	N/A	-
CPOX	coproporphyrinogen oxidase	3	q12	2	0	0	N/A	-
CPS1	"carbamoyl-phosphate synthase 1, mitochondrial"	2	p	3	210	200	N/A	"237300, PHN"
CPT1A	carnitine palmitoyltransferase 1A (liver)	11	q13.2	5	101	71	N/A	255120
CPT1B	carnitine palmitoyltransferase 1B (muscle)	22	q13.33	7	41	39	N/A	-
CPT1C	carnitine palmitoyltransferase 1C	19	q13.33	9	0	0	N/A	-
CPT2	carnitine palmitoyltransferase 2	1	p32	1	100	87	N/A	"255110, 608836, CPT II"
CRAT	carnitine O-acetyltransferase	9	q34.1	2	0	0	N/A	-
CRB1	crumbs homolog 1 (Drosophila)	1	q31-q32.1	1	8	8	10-12-2013	-
CRLS1	cardiolipin synthase 1	20	p13-p12.3	2	0	0	N/A	-
CROT	carnitine O-octanoyltransferase	7	q21.1	3	0	0	N/A	-
CRX	cone-rod homeobox	19	q13.3	1	3	3	10-12-2013	-
CRY1	cryptochrome 1 (photolyase-like)	12	q23-q24.1	1	0	0	N/A	-
CRYAB	"crystallin, alpha B"	11	q22.3-q23.1	1	0	0	N/A	-
CRYZ	crystallin zeta	1	p31.1	6	0	0	N/A	-
CS	citrate synthase	12	q13.2	1	0	0	N/A	-
CSRP3	cysteine and glycine-rich protein 3 (cardiac LIM protein)	11	p15.1	1	2	2	18-04-2014	-
CTNS	"cystinosin, lysosomal cystine transporter"	17	p13	2	0	0	N/A	-
CTPS2	CTP synthase 2	X	p22	3	0	0	N/A	-
CTSD	cathepsin D	11	p15.5	1	0	0	N/A	-
CUTC	cutC copper transporter	10	q24.2	1	9	9	25-06-2018	-
CYB5A	cytochrome b5 type A (microsomal)	18	q23	3	0	0	N/A	-
CYB5B	cytochrome b5 type B (outer mitochondrial membrane)	16	q22.1	1	0	0	N/A	-
CYB5R1	cytochrome b5 reductase 1	1	q32.1	1	0	0	N/A	-
CYB5R2	cytochrome b5 reductase 2	11	p15.4	6	0	0	N/A	-
CYB5R3	cytochrome b5 reductase 3	22	q13.2	5	0	0	N/A	250800
CYBA	"cytochrome b-245, alpha polypeptide"	16	q24	1	31	31	N/A	233690
CYBB	"cytochrome b-245, beta polypeptide"	X	p21.1	2	0	0	N/A	-
CYC1	cytochrome c-1	8	q24	1	4	2	N/A	MC3DN6
CYCS	"cytochrome c, somatic"	7	p21.2	1	0	0	N/A	-
CYP11A1	"cytochrome P450, family 11, subfamily A, polypeptide 1"	15	q23-q24	2	0	0	N/A	-
CYP11B1	"cytochrome P450, family 11, subfamily B, polypeptide 1"	8	q21-q22	2	0	0	N/A	-
CYP11B2	"cytochrome P450, family 11, subfamily B, polypeptide 2"	8	q21-q22	1	0	0	N/A	-
CYP24A1	"cytochrome P450, family 24, subfamily A, polypeptide 1"	20	q13.2-q13.3	4	0	0	N/A	-
CYP27A1	"cytochrome P450, family 27, subfamily A, polypeptide 1"	2	q35	1	0	0	N/A	-
CYP27B1	"cytochrome P450, family 27, subfamily B, polypeptide 1"	12	q13.3-q14	1	0	0	N/A	-
CYP7B1	"cytochrome P450, family 7, subfamily B, polypeptide 1"	8	q21.3	1	0	0	N/A	-
D2HGDH	D-2-hydroxyglutarate dehydrogenase	2	p25.3	1	4	4	N/A	-
DACT2	dishevelled-binding antagonist of beta-catenin 2	6	q27	2	0	0	N/A	-
DAP3	death associated protein 3	1	q22	9	0	0	N/A	-
DARS	aspartyl-tRNA synthetase	2	q21.3	1	2	2	15-08-2014	-
DARS2	"aspartyl-tRNA synthetase 2, mitochondrial"	1	q25.1	3	60	48	N/A	611105
DBI	"diazepam binding inhibitor (GABA receptor modulator, acyl-CoA binding protein)"	2	q12-q21	12	0	0	N/A	-
DBT	dihydrolipoamide branched chain transacylase E2	1	p31	1	0	0	N/A	-
DCAKD	dephospho-CoA kinase domain containing	17	q21.31	2	0	0	N/A	-
DCX	doublecortin	X	q22.3-q23	5	0	0	N/A	-
DCXR	dicarbonyl/L-xylulose reductase	17	q25.3	2	0	0	N/A	-
DDAH1	dimethylarginine dimethylaminohydrolase 1	1	p22	2	0	0	N/A	-
DDHD2	DDHD domain containing 2	8	p11.23	1	1	1	25-06-2018	-
DDX28	DEAD (Asp-Glu-Ala-Asp) box polypeptide 28	16	q22.1-q22.3	1	0	0	N/A	-
DECR1	"2,4-dienoyl CoA reductase 1, mitochondrial"	8	q21.3	2	0	0	N/A	-
DES	desmin	2	q35	1	3	3	18-04-2014	-
DFNB31	"deafness, autosomal recessive 31"	9	q32	1	69	69	10-12-2013	500004
DFNB59	"deafness, autosomal recessive 59"	2	q31.2	1	0	0	10-12-2013	-
DGUOK	deoxyguanosine kinase	2	p13	3	49	44	N/A	"617070, MTDPS3"
DGUOK-AS1	DGUOK antisense RNA 1	2	p13.1	1	8	7	15-09-2014	-
DHCR24	24-dehydrocholesterol reductase	1	p32.3	1	0	0	N/A	-
DHODH	dihydroorotate dehydrogenase (quinone)	16	q22.2	1	0	0	N/A	-
DHRS1	dehydrogenase/reductase (SDR family) member 1	14	q11.2	2	0	0	N/A	-
DHRS4	dehydrogenase/reductase (SDR family) member 4	14	q11.2	6	0	0	N/A	-
DHRS7B	dehydrogenase/reductase (SDR family) member 7B	17	p12	4	0	0	N/A	-
DHRSX	dehydrogenase/reductase (SDR family) X-linked	X	p22.33 and Yp11.2	1	0	0	N/A	-
DHTKD1	dehydrogenase E1 and transketolase domain containing 1	10	p14	3	0	0	N/A	-
DHX29	DEAH (Asp-Glu-Ala-His) box polypeptide 29	5	q11.2	1	0	0	N/A	-
DHX30	DEAH-box helicase 30	3	p24.3-p22.1	13	0	0	N/A	-
DIABLO	"diablo, IAP-binding mitochondrial protein"	12	q24.31	6	0	0	N/A	-
DLAT	dihydrolipoamide S-acetyltransferase	11	q23.1	1	14	13	N/A	PDHDD
DLD	dihydrolipoamide dehydrogenase	7	q31-q32	1	42	42	N/A	-
DLG4	"discs, large homolog 4 (Drosophila)"	17	p13.1	1	19	18	15-08-2014	-
DLST	dihydrolipoamide S-succinyltransferase (E2 component of 2-oxo-glutarate complex)	14	q23.1	2	0	0	N/A	-
DMD	dystrophin	X	p21.2	1	7	7	18-04-2014	-
DMGDH	dimethylglycine dehydrogenase	5	q14.1	3	0	0	N/A	-
DMPK	dystrophia myotonica-protein kinase	19	q13.3	4	0	0	N/A	-
DNA2	DNA replication helicase/nuclease 2	10	q21.3-q22.1	1	1	1	N/A	PEOA6
DNAJA3	"DnaJ (Hsp40) homolog, subfamily A, member 3"	16	p13.3	2	0	0	N/A	-
DNAJC11	"DnaJ (Hsp40) homolog, subfamily C, member 11"	1	p36.23	1	0	0	N/A	-
DNAJC15	"DnaJ (Hsp40) homolog, subfamily C, member 15"	13	q14.1	1	0	0	N/A	-
DNAJC19	"DnaJ (Hsp40) homolog, subfamily C, member 19"	3	q26.33	7	26	22	N/A	MGCA5
DNAJC28	DnaJ heat shock protein family (Hsp40) member C28	21	q22.11	3	0	0	N/A	-
DNAJC4	"DnaJ (Hsp40) homolog, subfamily C, member 4"	11	q13	3	0	0	N/A	-
DNAJC9-AS1	DNAJC9 antisense RNA 1	10	q22.2	1	52	51	26-11-2013	-
DNASE1L1	deoxyribonuclease I-like 1	X	q28	1	41	24	17-04-2014	-
DNLZ	DNL-type zinc finger	9	q34.3	2	0	0	N/A	-
DNM1L	dynamin 1-like	12	p11.21	9	24	24	N/A	614388
DNM2	dynamin 2	19	p	13	0	0	N/A	-
DOLK	dolichol kinase	9	q34.13	1	0	0	N/A	-
DPAGT1	dolichyl-phosphate (UDP-N-acetylglucosamine) N-acetylglucosaminephosphotransferase 1 (GlcNAc-1-P transferase)	11	q23.3	4	0	0	N/A	-
DPM1	"dolichyl-phosphate mannosyltransferase polypeptide 1, catalytic subunit"	20	q13.1	5	0	0	N/A	-
DPM3	dolichyl-phosphate mannosyltransferase polypeptide 3	1	q22	2	0	0	N/A	-
DRG2	developmentally regulated GTP binding protein 2	17	p13-p12	1	0	0	N/A	-
DSP	desmoplakin	6	p24.3	1	6	6	18-04-2014	-
DTYMK	deoxythymidylate kinase	2	q37	3	0	0	N/A	-
DUS2	dihydrouridine synthase 2	16	q22.1	3	0	0	N/A	-
DUSP26	dual specificity phosphatase 26 (putative)	8	p12	2	0	0	N/A	-
DUT	deoxyuridine triphosphatase	15	q21.1	5	0	0	N/A	-
EARS2	"glutamyl-tRNA synthetase 2, mitochondrial"	16	p12.3	2	71	64	N/A	614924
ECH1	"enoyl CoA hydratase 1, peroxisomal"	19	q13.1	1	0	0	N/A	-
ECHDC1	ethylmalonyl-CoA decarboxylase 1	6	q22.33	11	0	0	N/A	-
ECHDC2	enoyl-CoA hydratase domain containing 2	1	p32.3	26	0	0	N/A	-
ECHDC3	enoyl CoA hydratase domain containing 3	10	p14	1	0	0	N/A	-
ECHS1	"enoyl CoA hydratase, short chain, 1, mitochondrial"	10	q26.2-q26.3	1	19	19	N/A	616277
ECSIT	ECSIT signalling integrator	19	p13.2	4	0	0	N/A	-
EDAR	ectodysplasin A receptor	2	q13	1	2	2	16-06-2019	-
EDN3	endothelin 3	20	q13.2-q13.3	1	0	0	10-12-2013	-
EDNRB	endothelin receptor type B	13	q22	1	0	0	10-12-2013	-
EEFSEC	"eukaryotic elongation factor, selenocysteine-tRNA-specific"	3	q21.3	3	0	0	N/A	-
EFHD1	"EF-hand domain family, member D1"	2	q37.1	2	0	0	N/A	-
EHHADH	"enoyl-CoA, hydratase/3-hydroxyacyl CoA dehydrogenase"	3	q26.3-q28	2	0	0	N/A	-
EIF2AK3	eukaryotic translation initiation factor 2-alpha kinase 3	2	p12	1	0	0	N/A	-
ELAC2	elaC ribonuclease Z 2	17	p11.2	3	76	72	N/A	615440
ELN	elastin	7	q11.1-q21.1	15	0	0	N/A	-
ELOVL4	ELOVL fatty acid elongase 4	6	q14	1	0	0	N/A	-
ENDOG	endonuclease G	9	q34.1	1	0	0	N/A	-
ENPP1	ectonucleotide pyrophosphatase/phosphodiesterase 1	6	q22-q23	1	4	2	26-11-2013	"601665, NIDDM"
ENTPD5	ectonucleoside triphosphate diphosphohydrolase 5	14	q24.3	1	4	4	25-06-2018	-
ENTPD7	ectonucleoside triphosphate diphosphohydrolase 7	10	q24.2	1	26	26	25-06-2018	-
EPHX2	epoxide hydrolase 2	8	p21	4	0	0	N/A	-
ERAL1	Era like 12S mitochondrial rRNA chaperone 1	17	q11.2	1	0	0	N/A	-
ESR2	estrogen receptor 2 (ER beta)	14	q21-q22	1	0	0	10-12-2013	-
ESRRB	estrogen-related receptor beta	14	q24.3	1	0	0	10-12-2013	-
ETFA	"electron-transfer-flavoprotein, alpha polypeptide"	15	q23-q25	2	29	28	N/A	MADD
ETFB	"electron-transfer-flavoprotein, beta polypeptide"	19	q13.3-q13.4	2	14	14	N/A	MADD
ETFDH	electron-transferring-flavoprotein dehydrogenase	4	q32-q35	1	55	55	N/A	MADD
ETHE1	ethylmalonic encephalopathy 1	19	q13.32	4	98	53	N/A	EE 602473
EXOSC3	exosome component 3	9	p11	1	3	3	18-04-2014	-
EYA1	eyes absent homolog 1 (Drosophila)	8	q13.3	1	0	0	10-12-2013	-
FA2H	fatty acid 2-hydroxylase	16	q23	1	0	0	N/A	-
FABP1	fatty acid binding protein 1	2	p11	1	0	0	N/A	-
FAHD1	fumarylacetoacetate hydrolase domain containing 1	16	p13.3	3	0	0	N/A	-
FAHD2A	fumarylacetoacetate hydrolase domain containing 2A	2	q11.2	4	0	0	N/A	-
FAM126A	"family with sequence similarity 126, member A"	7	p15.3	1	4	4	18-04-2014	-
FAM135A	family with sequence similarity 135 member A	6	q13	1	1	1	25-06-2018	-
FAM185A	family with sequence similarity 185 member A	7	q22.1	11	0	0	N/A	-
FAM210B	family with sequence similarity 210 member B	20	q13.2	1	0	0	N/A	-
FANCI	"Fanconi anemia, complementation group I"	15	q26.1	1	18	17	18-11-2013	-
FARS2	"phenylalanyl-tRNA synthetase 2, mitochondrial"	6	p25.1	5	82	79	N/A	COXPD14
FASN	fatty acid synthase	17	q25	1	0	0	N/A	-
FASTK	Fas-activated serine/threonine kinase	7	q35	3	0	0	N/A	-
FASTKD1	FAST kinase domains 1	2	q31.1	5	0	0	N/A	-
FASTKD2	FAST kinase domains 2	2	q33.3	3	84	83	N/A	220110
FASTKD3	FAST kinase domains 3	5	p15.31	5	0	0	N/A	-
FASTKD5	FAST kinase domains 5	20	p13	1	0	0	N/A	-
FBP1	"fructose-1,6-bisphosphatase 1"	9	q22.3	2	0	0	N/A	-
FBXL4	F-box and leucine-rich repeat protein 4	6	q16.1-q16.3	2	386	381	17-04-2014	MTDPS13
FDPS	farnesyl diphosphate synthase	1	q22	5	0	0	N/A	-
FDX1	ferredoxin 1	11	q22.3	1	0	0	N/A	-
FDXR	ferredoxin reductase	17	q25.1	2	0	0	N/A	-
FECH	ferrochelatase	18	q21.2-q21.3	2	0	0	N/A	-
FGF14	fibroblast growth factor 14	13	q34	2	0	0	N/A	-
FGFR3	fibroblast growth factor receptor 3	4	p16.3	1	6	5	18-08-2014	-
FH	fumarate hydratase	1	q42.1	1	0	0	N/A	-
FHIT	fragile histidine triad	3	p14.2	8	0	0	N/A	-
FIS1	fission 1 (mitochondrial outer membrane) homolog (S. cerevisiae)	7	q22.1	2	0	0	N/A	-
FKBP10	FK506 binding protein 10	17	q21.2	3	0	0	N/A	-
FKBP8	"FK506 binding protein 8, 38kDa"	19	p12	6	0	0	N/A	-
FKTN	fukutin	9	q31-q33	1	2	2	18-04-2014	-
FLAD1	flavin adenine dinucleotide synthetase 1	1	q22	8	9	9	N/A	-
FOXG1	forkhead box G1	14	q11-q13	1	0	0	N/A	-
FOXI1	forkhead box I1	5	q34	1	0	0	10-12-2013	-
FOXRED1	FAD-dependent oxidoreductase domain containing 1	11	q24.2	3	44	41	N/A	"252010, 618241"
FPGS	folylpolyglutamate synthase	9	q34.11	7	0	0	N/A	-
FSIP2	fibrous sheath interacting protein 2	2	q32.1	1	0	0	N/A	-
FTH1	"ferritin, heavy polypeptide 1"	11	q13	1	0	0	N/A	-
FTL	"ferritin, light polypeptide"	19	q13.33	1	1	1	18-04-2014	-
FTMT	ferritin mitochondrial	5	q23.1	1	0	0	N/A	-
FTO	fat mass and obesity associated	16	q12.2	1	1	1	15-08-2014	-
FTSJ2	FtsJ RNA methyltransferase homolog 2 (E. coli)	7	p22	2	0	0	N/A	-
FUNDC1	FUN14 domain containing 1	X	p11.4	1	0	0	N/A	-
FUNDC2	FUN14 domain containing 2	X	q28	1	0	0	N/A	-
FXN	frataxin	9	q21.11	3	3	3	N/A	FRDA;FRDA1;FA
G6PC	"glucose-6-phosphatase, catalytic subunit"	17	q21	2	0	0	N/A	-
GAA	"glucosidase, alpha; acid"	17	q25.2-q25.3	5	0	0	N/A	-
GAD1	"glutamate decarboxylase 1 (brain, 67kDa)"	2	q31	2	0	0	N/A	-
GADD45GIP1	"growth arrest and DNA-damage-inducible, gamma interacting protein 1"	19	p13.2	1	0	0	N/A	-
GALC	galactosylceramidase	14	q31	5	0	0	N/A	-
GAMT	guanidinoacetate N-methyltransferase	19	p13.3	2	19	14	N/A	-
GAPDH	glyceraldehyde-3-phosphate dehydrogenase	12	p13.31	4	0	0	N/A	-
GARS	glycyl-tRNA synthetase	7	p15	1	0	0	N/A	-
GATAD1	GATA zinc finger domain containing 1	7	q21-q22	1	1	1	18-04-2014	-
GATC	glutamyl-tRNA amidotransferase subunit C	12	q24.31	1	1	1	17-06-2019	-
GATM	glycine amidinotransferase (L-arginine:glycine amidinotransferase)	15	q15.1	1	60	54	N/A	CCDS3
GBAS	glioblastoma amplified sequence	7	p12	2	0	0	N/A	-
GCAT	glycine C-acetyltransferase	22	q13.1	5	0	0	N/A	-
GCDH	glutaryl-CoA dehydrogenase	19	p13.2	2	9	9	N/A	-
GCGR	glucagon receptor	17	q25	1	2	1	26-11-2013	NIDDM
GCK	glucokinase (hexokinase 4)	7	p15.3-p15.1	3	6	6	N/A	NIDDM
GCSH	glycine cleavage system protein H (aminomethyl carrier)	16	q23.2	2	16	16	N/A	605899 GCE
GDAP1	ganglioside induced differentiation associated protein 1	8	q13.3	2	0	0	N/A	-
GDF6	growth differentiation factor 6	8	q22.1	1	3	3	10-12-2013	-
GFER	"growth factor, augmenter of liver regeneration"	16	p13.3-p13.12	1	5	4	N/A	613076
GFM1	"G elongation factor, mitochondrial 1"	3	q25	2	61	57	N/A	COXPD1
GFM2	"G elongation factor, mitochondrial 2"	5	q13	5	6	6	N/A	618397
GHITM	growth hormone inducible transmembrane protein	10	q23.1	1	0	0	N/A	-
GHRL	ghrelin/obestatin prepropeptide	3	p26-p25	1	4	2	26-11-2013	601665
GHRLOS	ghrelin opposite strand/antisense RNA	3	p25.3	1	4	2	15-09-2014	-
GIGYF2	GRB10 interacting GYF protein 2	2	q37.1	1	3	3	10-12-2013	-
GIPC3	"GIPC PDZ domain containing family, member 3"	19	p13.3	1	0	0	10-12-2013	-
GJB2	"gap junction protein, beta 2, 26kDa"	13	q11-q12	1	161	160	10-12-2013	DFNB1A
GJB3	"gap junction protein, beta 3, 31kDa"	1	p34	1	2	2	10-12-2013	DFNB1A
GJB4	gap junction protein beta 4	1	p34.3	1	1	1	26-06-2018	-
GJB6	"gap junction protein, beta 6, 30kDa"	13	q12	4	7	7	N/A	DFNB1A
GJC2	"gap junction protein, gamma 2, 47kDa"	1	q41-q42	1	5	5	18-04-2014	-
GK	glycerol kinase	X	p21.3	4	0	0	N/A	-
GK2	glycerol kinase 2	4	q13	1	0	0	N/A	-
GLA	"galactosidase, alpha"	X	q21.3-q22	1	0	0	N/A	-
GLDC	glycine dehydrogenase (decarboxylating)	9	p22	1	311	310	N/A	605899 GCE
GLRX	glutaredoxin (thioltransferase)	5	q14	2	0	0	N/A	-
GLRX2	glutaredoxin 2	1	q31.2	5	0	0	N/A	-
GLRX5	glutaredoxin 5	14	q32.2	1	0	0	N/A	-
GLS	glutaminase	2	q32-q34	2	0	0	N/A	-
GLS2	"glutaminase 2 (liver, mitochondrial)"	12	q13	7	0	0	N/A	-
GLUD1	glutamate dehydrogenase 1	10	q23.2	1	0	0	N/A	-
GLYAT	glycine-N-acyltransferase	11	q12.1	2	0	0	N/A	-
GLYCTK	glycerate kinase	3	p21.1	6	0	0	N/A	-
GMPPB	GDP-mannose pyrophosphorylase B	3	p21.31	3	0	0	N/A	-
GNG5	"guanine nucleotide binding protein (G protein), gamma 5"	1	p22	1	0	0	N/A	-
GNPAT	glyceronephosphate O-acyltransferase	1	q42	1	0	0	N/A	-
GOLPH3	golgi phosphoprotein 3	5	p13.2	1	0	0	N/A	-
GOT2	"glutamic-oxaloacetic transaminase 2, mitochondrial"	16	q21	1	0	0	N/A	-
GPAM	"glycerol-3-phosphate acyltransferase, mitochondrial"	10	q25.3	5	0	0	N/A	-
GPD1	glycerol-3-phosphate dehydrogenase 1 (soluble)	12	q13.12	2	0	0	N/A	-
GPD2	glycerol-3-phosphate dehydrogenase 2 (mitochondrial)	2	q24.1	2	2	1	N/A	NIDDM
GPHN	gephyrin	14	q23.3	2	0	0	N/A	-
GPI	glucose-6-phosphate isomerase	19	q13.1	8	0	0	N/A	-
GPR98	G protein-coupled receptor 98	5	q13	1	15	15	10-12-2013	500004
GPSM2	G-protein signaling modulator 2	1	p13.3	1	0	0	10-12-2013	-
GPT2	glutamic pyruvate transaminase (alanine aminotransferase) 2	16	q12.1	2	0	0	N/A	-
GPX1	glutathione peroxidase 1	3	p21.3	2	0	0	N/A	-
GPX4	glutathione peroxidase 4	19	p13.3	3	0	0	N/A	-
GRHPR	glyoxylate reductase/hydroxypyruvate reductase	9	q12	4	0	0	N/A	-
GRPEL1	"GrpE-like 1, mitochondrial (E. coli)"	4	p16	1	0	0	N/A	-
GRPEL2	"GrpE-like 2, mitochondrial (E. coli)"	5	q33.1	2	0	0	N/A	-
GRSF1	G-rich RNA sequence binding factor 1	4	q13	2	0	0	N/A	-
GSR	glutathione reductase	8	p21.1	4	0	0	N/A	-
GSTK1	glutathione S-transferase kappa 1	7	q34	5	0	0	N/A	-
GSTO1	glutathione S-transferase omega 1	10	q25.1	3	0	0	N/A	-
GSTZ1	glutathione S-transferase zeta 1	14	q24.3	6	0	0	N/A	-
GTPBP10	GTP binding protein 10	7	q21.13	2	0	0	N/A	-
GTPBP3	GTP binding protein 3 (mitochondrial)	19	p13.2	7	10	10	N/A	616198
GTPBP6	GTP binding protein 6 (putative)	X	p22.33 and Yp11.32	4	0	0	N/A	-
GTPBP8	GTP-binding protein 8 (putative)	3	q13.2	3	0	0	N/A	-
GUCY2D	"guanylate cyclase 2D, membrane (retina-specific)"	17	p13.1	1	5	5	10-12-2013	-
GUF1	GUF1 GTPase homolog (S. cerevisiae)	4	p13	2	0	0	N/A	-
GUK1	guanylate kinase 1	1	q32-q41	10	0	0	N/A	-
GYS2	glycogen synthase 2 (liver)	12	p12.2-p11.2	4	0	0	N/A	-
HADH	hydroxyacyl-CoA dehydrogenase	4	q22-q26	2	30	28	N/A	HADH Dificiency
HADHA	"hydroxyacyl-CoA dehydrogenase/3-ketoacyl-CoA thiolase/enoyl-CoA hydratase (trifunctional protein), alpha subunit"	2	p23	3	130	123	N/A	"609015, LCHAD"
HADHB	"hydroxyacyl-CoA dehydrogenase/3-ketoacyl-CoA thiolase/enoyl-CoA hydratase (trifunctional protein), beta subunit"	2	p23	1	64	59	N/A	609015
HAGH	hydroxyacylglutathione hydrolase	16	p13.3	2	0	0	N/A	-
HAO2	hydroxyacid oxidase 2 (long chain)	1	p13.3-p13.1	8	0	0	N/A	-
HARS	histidyl-tRNA synthetase	5	q31.3	1	24	24	25-06-2018	-
HARS2	"histidyl-tRNA synthetase 2, mitochondrial"	5	q31.3	4	10	9	N/A	PRLTS2
HAX1	HCLS1 associated protein X-1	1	q21.3	2	0	0	N/A	-
HCCS	holocytochrome c synthase	X	p22	3	0	0	N/A	-
HDDC2	HD domain containing 2	6	q13-q24.3	2	0	0	N/A	-
HDHD3	haloacid dehalogenase like hydrolase domain containing 3	9	q33.1	4	0	0	N/A	-
HEBP1	heme binding protein 1	12	p13.2	1	0	0	N/A	-
HEMK1	HemK methyltransferase family member 1	3	p21	4	0	0	N/A	-
HFE	hemochromatosis	6	p21.3	12	9	9	N/A	-
HFE2	hemochromatosis type 2 (juvenile)	1	q21.2	1	2	2	18-08-2014	-
HGF	hepatocyte growth factor (hepapoietin A; scatter factor)	7	q21.1	1	0	0	10-12-2013	-
HIBADH	3-hydroxyisobutyrate dehydrogenase	7	p15	1	0	0	N/A	-
HIBCH	3-hydroxyisobutyryl-CoA hydrolase	2	q32.3	3	1	1	N/A	-
HIGD1A	"HIG1 hypoxia inducible domain family, member 1A"	3	p22.1	3	0	0	N/A	-
HIGD2A	"HIG1 hypoxia inducible domain family, member 2A"	5	q35.2	1	0	0	N/A	-
HINT1	histidine triad nucleotide binding protein 1	5	q31.2	5	0	0	N/A	-
HINT2	histidine triad nucleotide binding protein 2	9	p11.2	3	0	0	N/A	-
HINT3	histidine triad nucleotide binding protein 3	6	q22.33	1	0	0	N/A	-
HK1	hexokinase 1	10	q22	8	0	0	N/A	-
HK2	hexokinase 2	2	p13	1	0	0	N/A	-
HK3	hexokinase 3 (white cell)	5	q35.2	1	0	0	N/A	-
HLCS	holocarboxylase synthetase (biotin-(proprionyl-CoA-carboxylase (ATP-hydrolysing)) ligase)	21	q22.1	3	0	0	N/A	-
HMBS	hydroxymethylbilane synthase	11	q23.3	8	0	0	N/A	-
HMGCL	3-hydroxymethyl-3-methylglutaryl-CoA lyase	1	p36.1-p35	4	0	0	N/A	-
